id,pdf,question,reference_answer,relevant_pages,difficulty
OCR01,evaluation_document_ocr_and_rag.pdf,Why is the quality of the knowledge base important in a RAG system?,"The knowledge base defines the information available to the RAG system. If document parsing introduces errors, the retrieved evidence and the final generated answer can also be affected.",1,easy
OCR02,evaluation_document_ocr_and_rag.pdf,What is OHRBench designed to evaluate?,OHRBench is designed to study the cascading impact of OCR errors and OCR noise on retrieval-augmented generation systems.,3,easy
OCR03,evaluation_document_ocr_and_rag.pdf,How many documents and question-answer pairs are included in OHRBench?,"OHRBench contains 350 unstructured PDF documents and 4,598 question-answer pairs.",3,easy
OCR04,evaluation_document_ocr_and_rag.pdf,What are the six application domains represented in OHRBench?,"The six domains are textbook, manual, academic paper, newspaper, finance, and law.",3,easy
OCR05,evaluation_document_ocr_and_rag.pdf,What are the two primary types of OCR noise identified in the study?,The two types are Semantic Noise and Formatting Noise.,4,easy
OCR06,evaluation_document_ocr_and_rag.pdf,How does Semantic Noise differ from Formatting Noise?,"Semantic Noise changes the meaning or content of extracted information, while Formatting Noise changes its representation or presentation without necessarily changing the underlying semantics.",4,medium
OCR07,evaluation_document_ocr_and_rag.pdf,Which metrics are used to evaluate retrieval and generation?,"Retrieval is evaluated with LCS@1, while generation is evaluated with Exact Match and F1-score.",6,medium
OCR08,evaluation_document_ocr_and_rag.pdf,What happens to RAG performance as Semantic Noise increases?,"Performance declines substantially across retrieval and generation, with the study reporting performance degradation approaching 50% in some settings as semantic perturbation increases from mild to severe.",7,medium
OCR09,evaluation_document_ocr_and_rag.pdf,Why can OCR errors cause cascading failures in a RAG pipeline?,"An OCR error can corrupt the knowledge base, which can cause the retriever to select poor evidence and leave the language model with incomplete or incorrect context for generation.",9,medium
OCR10,evaluation_document_ocr_and_rag.pdf,What alternative to OCR does the study discuss for document understanding?,"The study discusses Vision-Language Models as a possible alternative or complement to OCR, and reports that combining visual input with OCR text is a promising direction.",10,medium
MOB01,evaluation_document_mobile_learning.pdf,Who participated in the mobile learning study?,The study involved 20 Polish university students studying English philology.,1,easy
MOB02,evaluation_document_mobile_learning.pdf,How was data collected from the participants?,Data were collected through semi-structured interviews and analyzed using qualitative and quantitative approaches.,1,easy
MOB03,evaluation_document_mobile_learning.pdf,How does the study describe learner autonomy?,"Learner autonomy is described as the ability to take charge of one's own learning and is associated with decision-making, critical reflection, independent action, and control over learning.",2,medium
MOB04,evaluation_document_mobile_learning.pdf,What were the main reasons participants gave for using mobile devices?,"They valued mobile devices because they were convenient, fast, readily available, provided quick internet access, and helped them organize and access study materials.",5,easy
MOB05,evaluation_document_mobile_learning.pdf,Which mobile applications or resources were commonly used?,"Examples included online dictionaries, Google Translate, Duolingo, Fiszkoteka, Voscreen, WhatsApp, TED, online newspapers, YouTube, 6 Minute English, PONS, and downloaded PDF materials.",6,medium
MOB06,evaluation_document_mobile_learning.pdf,Where did participants use mobile devices most frequently for English learning?,"Thirteen participants (65%) used them most frequently during leisure time, six (30%) primarily in the classroom, and one reported equal use in both settings.",7,easy
MOB07,evaluation_document_mobile_learning.pdf,What proportion of participants associated mobile devices primarily with informal learning?,"Thirteen participants, or 65%, associated mobile device use primarily with informal English learning.",8,easy
MOB08,evaluation_document_mobile_learning.pdf,What language area did all participants practice using mobile devices?,All participants reported using mobile devices to practice English vocabulary.,9,easy
MOB09,evaluation_document_mobile_learning.pdf,How many participants believed mobile devices helped them study more or learn more effectively?,"Fifteen participants, or 75%, believed mobile devices encouraged them to study English more or helped them learn more effectively or efficiently.",10,easy
MOB10,evaluation_document_mobile_learning.pdf,What limitation did the study identify regarding the generalizability of its findings?,The small and relatively homogeneous participant group limits how broadly the findings can be generalized.,10,medium
