id,pdf,question,reference_answer,generated_answer,latency_sec,retrieved_count,retrieved_sources,retrieved_documents,retrieved_pages,retrieved_chunks,correct_binary,partial_score,retrieval_relevant,satisfaction
OCR01,evaluation_document_ocr_and_rag.pdf,Why is the quality of the knowledge base important in a RAG system?,"The knowledge base defines the information available to the RAG system. If document parsing introduces errors, the retrieved evidence and the final generated answer can also be affected.","The quality of the knowledge base is important in a RAG system because it directly affects the overall system performance. The knowledge base is used to retrieve evidence that is then supplied to a language model to generate answers. If the knowledge base contains errors, such as those introduced by OCR, it can lead to poor retrieval quality and ultimately affect the accuracy of the generated answers.",1.2081644,6,"[{""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 5, ""chunk"": 1}, {""document"": ""evaluation_document_mobile_learning.pdf"", ""page"": 4, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 3, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 4, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 2, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 1, ""chunk"": 1}]","evaluation_document_mobile_learning.pdf, evaluation_document_ocr_and_rag.pdf","1, 2, 3, 4, 5",1,1,1.0,1,5
OCR02,evaluation_document_ocr_and_rag.pdf,What is OHRBench designed to evaluate?,OHRBench is designed to study the cascading impact of OCR errors and OCR noise on retrieval-augmented generation systems.,OHRBench is designed to evaluate the cascading impact of OCR on RAG systems.,0.3874713,6,"[{""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 2, ""chunk"": 1}, {""document"": ""evaluation_document_mobile_learning.pdf"", ""page"": 1, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 1, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 3, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 4, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 5, ""chunk"": 1}]","evaluation_document_mobile_learning.pdf, evaluation_document_ocr_and_rag.pdf","1, 2, 3, 4, 5",1,1,0.5,1,4
OCR03,evaluation_document_ocr_and_rag.pdf,How many documents and question-answer pairs are included in OHRBench?,"OHRBench contains 350 unstructured PDF documents and 4,598 question-answer pairs.","OHRBench contains 350 unstructured PDF documents and 4,598 question-answer pairs.",0.2834769,6,"[{""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 2, ""chunk"": 1}, {""document"": ""evaluation_document_mobile_learning.pdf"", ""page"": 2, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 1, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 3, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 4, ""chunk"": 1}, {""document"": ""evaluation_document_mobile_learning.pdf"", ""page"": 3, ""chunk"": 1}]","evaluation_document_mobile_learning.pdf, evaluation_document_ocr_and_rag.pdf","1, 2, 3, 4",1,1,1.0,1,5
OCR04,evaluation_document_ocr_and_rag.pdf,What are the six application domains represented in OHRBench?,"The six domains are textbook, manual, academic paper, newspaper, finance, and law.","The six application domains represented in OHRBench are: 
1. textbook
2. manual
3. academic paper
4. newspaper
5. finance
6. law.",0.419158,6,"[{""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 2, ""chunk"": 1}, {""document"": ""evaluation_document_mobile_learning.pdf"", ""page"": 3, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 1, ""chunk"": 1}, {""document"": ""evaluation_document_mobile_learning.pdf"", ""page"": 1, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 3, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 4, ""chunk"": 1}]","evaluation_document_mobile_learning.pdf, evaluation_document_ocr_and_rag.pdf","1, 2, 3, 4",1,1,1.0,1,5
OCR05,evaluation_document_ocr_and_rag.pdf,What are the two primary types of OCR noise identified in the study?,The two types are Semantic Noise and Formatting Noise.,"The two primary types of OCR noise identified in the study are: 

1. Semantic Noise 
2. Formatting Noise",0.6213528,6,"[{""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 2, ""chunk"": 1}, {""document"": ""evaluation_document_mobile_learning.pdf"", ""page"": 4, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 5, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 4, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 3, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 1, ""chunk"": 1}]","evaluation_document_mobile_learning.pdf, evaluation_document_ocr_and_rag.pdf","1, 2, 3, 4, 5",1,1,1.0,1,5
OCR06,evaluation_document_ocr_and_rag.pdf,How does Semantic Noise differ from Formatting Noise?,"Semantic Noise changes the meaning or content of extracted information, while Formatting Noise changes its representation or presentation without necessarily changing the underlying semantics.","Semantic Noise differs from Formatting Noise in that it changes the meaning or content of extracted information through errors such as misspellings, misrecognized formula symbols, and incorrect table content or structure. In contrast, Formatting Noise changes the presentation or representation of the information, including whitespace, markup, reading order, or formatting commands, without necessarily changing the underlying semantics.",0.4958637,6,"[{""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 4, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 2, ""chunk"": 1}, {""document"": ""evaluation_document_mobile_learning.pdf"", ""page"": 4, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 3, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 5, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 1, ""chunk"": 1}]","evaluation_document_mobile_learning.pdf, evaluation_document_ocr_and_rag.pdf","1, 2, 3, 4, 5",1,1,1.0,1,5
OCR07,evaluation_document_ocr_and_rag.pdf,Which metrics are used to evaluate retrieval and generation?,"Retrieval is evaluated with LCS@1, while generation is evaluated with Exact Match and F1-score.","The metrics used to evaluate retrieval are Longest Common Subsequence (LCS), reported as LCS@1, and the metrics used to evaluate generation are Exact Match and F1-score.",0.3465827,6,"[{""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 1, ""chunk"": 1}, {""document"": ""evaluation_document_mobile_learning.pdf"", ""page"": 4, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 3, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 4, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 2, ""chunk"": 1}, {""document"": ""evaluation_document_mobile_learning.pdf"", ""page"": 1, ""chunk"": 1}]","evaluation_document_mobile_learning.pdf, evaluation_document_ocr_and_rag.pdf","1, 2, 3, 4",1,1,1.0,1,5
OCR08,evaluation_document_ocr_and_rag.pdf,What happens to RAG performance as Semantic Noise increases?,"Performance declines substantially across retrieval and generation, with the study reporting performance degradation approaching 50% in some settings as semantic perturbation increases from mild to severe.","RAG performance experiences substantial degradation as Semantic Noise increases from mild to severe, with most retrievers and language models experiencing a decline approaching 50% in some settings.",0.3054384,6,"[{""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 4, ""chunk"": 1}, {""document"": ""evaluation_document_mobile_learning.pdf"", ""page"": 1, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 5, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 2, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 3, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 1, ""chunk"": 1}]","evaluation_document_mobile_learning.pdf, evaluation_document_ocr_and_rag.pdf","1, 2, 3, 4, 5",1,1,0.5,0,3
OCR09,evaluation_document_ocr_and_rag.pdf,Why can OCR errors cause cascading failures in a RAG pipeline?,"An OCR error can corrupt the knowledge base, which can cause the retriever to select poor evidence and leave the language model with incomplete or incorrect context for generation.","OCR errors can cause cascading failures in a RAG pipeline because a parsing error can alter the knowledge base, reduce retrieval quality, and then affect the evidence available to the language model. This is according to the context provided on Page 5, section 9, which states that OCR errors can propagate through the RAG pipeline.",0.3974335,6,"[{""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 5, ""chunk"": 1}, {""document"": ""evaluation_document_mobile_learning.pdf"", ""page"": 3, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 2, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 3, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 4, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 1, ""chunk"": 1}]","evaluation_document_mobile_learning.pdf, evaluation_document_ocr_and_rag.pdf","1, 2, 3, 4, 5",1,1,1.0,0,4
OCR10,evaluation_document_ocr_and_rag.pdf,What alternative to OCR does the study discuss for document understanding?,"The study discusses Vision-Language Models as a possible alternative or complement to OCR, and reports that combining visual input with OCR text is a promising direction.",The study discusses Vision-Language Models (VLMs) as a possible alternative or complement to OCR. Combining visual input with OCR text was reported as a promising direction.,0.4661968,6,"[{""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 2, ""chunk"": 1}, {""document"": ""evaluation_document_mobile_learning.pdf"", ""page"": 2, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 1, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 3, ""chunk"": 1}, {""document"": ""evaluation_document_ocr_and_rag.pdf"", ""page"": 5, ""chunk"": 1}, {""document"": ""evaluation_document_mobile_learning.pdf"", ""page"": 1, ""chunk"": 1}]","evaluation_document_mobile_learning.pdf, evaluation_document_ocr_and_rag.pdf","1, 2, 3, 5",1,1,1.0,1,5
